,artist_name,track_name,Genre,mode,duration_ms,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,brad paisley,be the lake,Country,1,236307,4,0.528,0.938,7,-4.1,0.0379,0.0179,0.000733,0.532,0.683,114.551
1,gene watson,sometimes i get lucky and forget,Country,1,173960,4,0.591,0.23,2,-17.222,0.031,0.521,0.0,0.126,0.492,110.272
2,charlie landsborough,long and heavy chain,Country,1,266267,4,0.648,0.849,2,-8.737,0.0336,0.152,0.0044,0.145,0.643,140.009
3,buck owens,ashes of love,Country,1,134000,4,0.618,0.761,9,-7.691,0.0358,0.165,2.5e-05,0.173,0.841,121.355
4,darden smith,stronger,Country,1,211987,4,0.693,0.197,8,-15.058,0.0417,0.907,0.00257,0.708,0.0741,93.329
5,dwight yoakam,same fool,Country,1,181973,4,0.582,0.771,9,-5.979,0.0279,0.0168,7.69e-06,0.165,0.739,153.051
6,abigail washburn,song of the traveling daughter,Country,1,195960,4,0.42,0.635,0,-8.299,0.0375,0.257,0.229,0.0993,0.179,115.291
7,buck owens,swinging doors,Country,1,170067,4,0.559,0.512,9,-7.007,0.0286,0.0185,1.92e-06,0.0719,0.771,125.852
8,dolly parton,shine like the sun,Country,1,194427,4,0.522,0.914,11,-4.377,0.105,0.126,1.12e-06,0.377,0.842,143.302
9,bobby bare,less of me,Country,1,153853,4,0.441,0.222,5,-16.385,0.032,0.927,2.26e-05,0.0809,0.528,131.34
10,chuck wicks,watcha got girl,Country,1,181690,4,0.552,0.896,2,-5.113,0.0768,0.0111,0.0,0.201,0.871,159.964
11,billy dean,i shoulda listened,Country,1,234867,4,0.504,0.502,7,-12.798,0.0311,0.251,0.000208,0.0859,0.681,83.599
12,brad paisley,ticks,Country,1,273160,4,0.623,0.79,4,-6.316,0.0283,0.0312,3.77e-05,0.106,0.718,94.433
13,eddy arnold,prayer,Country,1,168840,4,0.331,0.263,10,-12.259,0.0303,0.972,0.00255,0.192,0.331,100.866
14,bill monroe,uncle pen,Country,1,142387,4,0.524,0.509,9,-8.781,0.0367,0.696,0.0452,0.168,0.719,118.024
15,dolly parton,those memories of you,Country,1,241200,4,0.59,0.444,4,-9.663,0.0292,0.444,1.65e-06,0.289,0.685,139.599
16,connie smith,if we want love to last,Country,1,165133,4,0.659,0.531,0,-9.662,0.0473,0.64,0.0,0.131,0.916,168.263
17,collin raye,i can let go now,Country,1,162293,4,0.327,0.175,10,-13.731,0.0294,0.743,0.00011,0.188,0.212,72.901
18,don williams,shadow land,Country,1,232893,4,0.588,0.166,0,-15.465,0.0329,0.895,0.000952,0.112,0.313,79.597
19,dolly parton,do you hear the robins sing,Country,1,146760,4,0.62,0.479,4,-10.662,0.025,0.624,0.0,0.113,0.777,81.213
20,george hamilton iv,oh so many years,Country,1,167253,4,0.641,0.236,4,-16.897,0.0346,0.503,0.001,0.12,0.591,114.649
21,carlene carter,all night long,Country,1,228093,4,0.707,0.749,9,-6.294,0.0324,0.0726,1.62e-05,0.45,0.61,126.466
22,allison moorer,hey jezebel,Country,1,267627,4,0.583,0.725,10,-6.113,0.0242,0.0118,2.58e-05,0.271,0.687,105.816
23,emmylou harris,jambalaya,Country,1,191667,4,0.472,0.549,4,-13.552,0.0479,0.69,0.0652,0.954,0.892,165.389
24,don williams,the long black veil,Country,1,191560,4,0.677,0.237,2,-16.701,0.033,0.64,0.738,0.144,0.546,123.753
25,emmylou harris,green rolling hills,Country,1,217267,4,0.504,0.236,2,-10.824,0.0314,0.398,6.4e-06,0.138,0.553,75.832
26,dolly parton,down on music row,Country,1,175720,4,0.573,0.528,0,-9.174,0.0305,0.694,1.33e-06,0.23,0.713,95.024
27,blaine larsen,someone is me,Country,1,213067,4,0.604,0.675,11,-4.99,0.0285,0.29,0.0,0.113,0.269,88.079
28,connie smith,your light,Country,1,191107,4,0.637,0.35,11,-12.858,0.027,0.144,2.81e-05,0.129,0.419,105.894
29,connie smith,there are some things,Country,1,181027,3,0.258,0.352,9,-9.679,0.0342,0.816,0.0,0.103,0.254,82.123
30,alan jackson,sweet hour of prayer,Country,1,196747,3,0.551,0.17,9,-12.737,0.0271,0.878,0.0,0.103,0.175,81.399
31,darrell scott,his chosen time,Country,0,269040,4,0.66,0.191,10,-17.612,0.0546,0.838,0.00731,0.105,0.535,91.659
32,charley pride,now i can live again,Country,1,136373,4,0.55,0.537,9,-12.106,0.0265,0.644,0.0,0.335,0.886,77.653
33,gillian welch,honey now,Country,1,112333,4,0.492,0.721,1,-6.189,0.0367,0.448,0.00733,0.0923,0.917,144.255
34,brandi carlile,shadow on the wall,Country,1,195467,4,0.631,0.15,11,-13.081,0.0446,0.911,7.48e-05,0.107,0.253,142.129
35,brett eldredge,the christmas song,Country,1,274547,4,0.572,0.405,4,-9.684,0.0318,0.775,0.00037,0.196,0.244,120.024
36,bill anderson,one solitary life,Country,1,177933,4,0.371,0.514,11,-13.699,0.0968,0.378,0.0,0.184,0.397,171.421
37,collin raye,counting sheep,Country,0,177667,4,0.809,0.291,0,-12.855,0.0352,0.712,0.0,0.28,0.405,116.968
38,bill anderson,home and things,Country,1,165053,4,0.629,0.313,3,-11.188,0.0267,0.455,0.0,0.122,0.648,103.818
39,ferlin husky,you pushed me too far,Country,1,153227,4,0.766,0.311,1,-16.968,0.053,0.757,0.0,0.234,0.714,120.864
40,blue mountain,jimmy carter,Country,1,144933,4,0.559,0.878,7,-10.04,0.0336,0.264,0.121,0.157,0.969,128.608
41,bill anderson,we,Country,1,176227,4,0.655,0.624,7,-10.436,0.0384,0.708,0.0,0.343,0.901,117.201
42,ernest tubb,tennessee saturday night,Country,1,174057,4,0.778,0.601,7,-11.803,0.0353,0.627,1.03e-05,0.0602,0.831,132.021
43,eli young band,saltwater gospel,Country,1,186680,4,0.686,0.619,11,-7.358,0.0367,0.0554,2.23e-05,0.113,0.641,114.036
